#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_Hfarm_1;Farms;Fermes;;;;;x
ct_Hfarm_2;Farms;Fermes;;;;;x
ct_Hfarm_3;Farms;Fermes;;;;;x
ct_Hfarm_1_desc;The richer the soil, the more efficient the farms will be.;Plus le sol est riche, plus les fermes produiront.;;;;;x 
ct_windmills_1;Windmill;Moulin à Vent;;;;;x
ct_windmills_2;Huge Windmill;Grand Moulin à Vent;;;;;x
ct_windmills_1_desc;By using the power of wind, these buildings make it easier for the day-to-day life.;En utilisant la force du vent, ces bâtiments facilitent la vie de tous les jours.;;;;;x
ct_sheepfarms_1;Sheepfarms;Elevage de Moutons;;;;;x
ct_sheepfarms_1_desc;Crude but usefull, sheepfarms are a good way to use poor soil areas.;Simple mais pratique, un élevage de moutons est une bonne façon d'utiliser un sol pauvre.;;;;;x
ct_watermill_1;Watermill;Moulin à Eau;;;;;x
ct_watermill_2;Huge Watermill;Grand Moulin à Eau;;;;;x
ct_watermill_1_desc;The waterflow can be used in many ways, like by sawmills, grain grinders, metalworks...;La force de l'eau peut être utilisée pour de nombreuses choses, comme moudre du grain, scier du bois ou même pour le travail des métaux...;;;;;x
ct_fishermen_1;Fishery;Pêcherie;;;;;x
ct_fishermen_1_desc;Fishing can lead to surprising catches!;Pêcher peut entraîner des prises surprenantes !;;;;;x
ct_ferry_boat_1;Ferry Boat;Passeur;;;;;x
ct_ferry_boat_1_desc;For a small price, this ferry boat can take you to the other side.;Pour une somme modeste, ce passeur peut vous emmener sur l'autre rive.;;;;;x
ct_date_palms_1;Date Palms;Plantation de Datiers;;;;;x
ct_date_palms_1_desc;This plantation allows dates to be recolted, making fruits available even in desertic places.;Cette plantation permet de récolter des dates, rendant certains fruits disponibles en zone désertique.;;;;;x
ct_wales_hunters_1;Wale Hunters;Chasseur de Baleine;;;;;x
ct_wales_hunters_1_desc;From oil to bone, wales are a valuable ressource in northern seas.;Depuis l'huile jusqu'aux os, les baleines sont une source de richesse dans les mers du nord;;;;;x
ct_woodcutters_1;Woodcutters;Bûcherons;;;;;;;x
ct_woodcutters_1_desc;Wood is often the primary building material.;Le bois est souvent le premier matériau de construction.;;;;;;;x 
